Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230223\2023022-LW-S1.mzML	D:\liuwei\20230223\2023022-LW-S2.mzML	D:\liuwei\20230223\2023022-LW-S3.mzML	D:\liuwei\20230223\2023022-LW-SP1.mzML	D:\liuwei\20230223\2023022-LW-SP2.mzML	D:\liuwei\20230223\2023022-LW-SP3.mzML
Q9NVD7	Q9HBI1;Q9NVD7	PARVA_HUMAN	PARVA	Alpha-parvin	181930	174255	160696	151362	149419	142879
Q9NVE7	Q9NVE7	PANK4_HUMAN	PANK4	4'-phosphopantetheine phosphatase	114617	135814	120762	123534	116053	128947
Q9NVF7	Q9NVF7	FBX28_HUMAN	FBXO28	F-box only protein 28	44210.3	58414.4	50417.8	40125.2	49005.1	45805.3
Q9NVH0	Q9NVH0	EXD2_HUMAN	EXD2	Exonuclease 3'-5' domain-containing protein 2	36949.5	63293.5	33635.2	33105.6	37656.9	31477.1
Q9NVH1	Q9NVH1	DJC11_HUMAN	DNAJC11	DnaJ homolog subfamily C member 11	37342.8	77043.2	61676	47275.3	44849.5	68209.3
Q9NVH2	Q9NVH2	INT7_HUMAN	INTS7	Integrator complex subunit 7	30055	42060	48210.4		31860.7	
Q9NVI1	Q9NVI1	FANCI_HUMAN	FANCI	Fanconi anemia group I protein	102723	111925	109174	94377	92046.9	94165.2
Q9NVI7	Q9NVI7	ATD3A_HUMAN	ATAD3A	ATPase family AAA domain-containing protein 3A	235695	261978	261191	146212	146049	179604
Q9NVM4	Q9NVM4	ANM7_HUMAN	PRMT7	Protein arginine N-methyltransferase 7	169639	161641	155336	180401	164744	179055
Q9NVM9	Q9NVM9	INT13_HUMAN	INTS13	Integrator complex subunit 13	203547	204140	221408	204177	210317	207872
Q9NVN8	Q9NVN8	GNL3L_HUMAN	GNL3L	Guanine nucleotide-binding protein-like 3-like protein	227535	168866	164873	177249	211412	220469
Q9NVP1	Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18	21960.9	39615.6	33113.9	36531.2	12140	20906.4
Q9NVR0	Q9NVR0	KLH11_HUMAN	KLHL11	Kelch-like protein 11	135446	128563	143574	140858	126115	105187
Q9NVR2	Q9NVR2	INT10_HUMAN	INTS10	Integrator complex subunit 10	116706	121375	100507	66430.8	80511.2	86467.9
Q9NVS2	Q9NVS2	RT18A_HUMAN	MRPS18A	39S ribosomal protein S18a, mitochondrial	102809	133802	117907	107402	79972.8	88932.1
Q9NVX2	Q9NVX2	NLE1_HUMAN	NLE1	Notchless protein homolog 1	67315.3	75134	67258.1	91739.4	93817.8	86144
Q9NVX7	Q9NVX7	KBTB4_HUMAN	KBTBD4	Kelch repeat and BTB domain-containing protein 4	178809	186393	180482	194390	233673	232205
Q9NW07	Q9NW07	ZN358_HUMAN	ZNF358	Zinc finger protein 358	86600.5	68346.8	89819.3	90075.6	79355.7	84668.4
Q9NW13	Q9NW13	RBM28_HUMAN	RBM28	RNA-binding protein 28	63306.5	82011.2	55636	45708.9	49442.9	41470.9
Q9NW64	Q9NW64	RBM22_HUMAN	RBM22	Pre-mRNA-splicing factor RBM22	155627	173470	184121	131961	137957	121258
Q9NW75	Q9NW75	GPTC2_HUMAN	GPATCH2	G patch domain-containing protein 2	43616.4	30017.1	47336.9	27970.7	34820.4	36612.1
Q9NW82	Q9NW82	WDR70_HUMAN	WDR70	WD repeat-containing protein 70	74599.9	63281.8	62524.6	63117.1	59592.2	71969.6
Q9NWA0	Q9NWA0	MED9_HUMAN	MED9	Mediator of RNA polymerase II transcription subunit 9	54771	54587.7	31433.6	20082.4	25564.7	45348.6
Q9NWB6	Q9NWB6	ARGL1_HUMAN	ARGLU1	Arginine and glutamate-rich protein 1		20780.7	18054.7	21660.6		9505.32
Q9NWH9	Q9NWH9	SLTM_HUMAN	SLTM	SAFB-like transcription modulator	241853	239035	243548	211444	202435	182332
Q9NWS8	Q9NWS8	RMND1_HUMAN	RMND1	Required for meiotic nuclear division protein 1 homolog	116553	109758	105947	93923.7	79502.4	89536.8
Q9NWS9	Q9NWS9	ZN446_HUMAN	ZNF446	Zinc finger protein 446	34286.7	56130.8	20409.8	28403.3	77811.5	45754.1
Q9NWT1	Q9NWT1	PK1IP_HUMAN	PAK1IP1	p21-activated protein kinase-interacting protein 1	236212	262304	226102	261947	273401	306092
Q9NWU2	Q9NWU2	GID8_HUMAN	GID8	Glucose-induced degradation protein 8 homolog	381893	424239	425370	380755	389691	445639
Q9NWU5	Q9NWU5	RM22_HUMAN	MRPL22	39S ribosomal protein L22, mitochondrial	136076	144827	109653	101304	100777	81063.2
Q9NWV8	Q9NWV8	BABA1_HUMAN	BABAM1	BRISC and BRCA1-A complex member 1	90976.9	73491.5	117540	92203.9	114954	112426
Q9NWW5	Q9NWW5	CLN6_HUMAN	CLN6	Ceroid-lipofuscinosis neuronal protein 6	38272.6	24157.8	32997.2	10406	12622.1	32664.8
Q9NWX5	Q9NWX5	ASB6_HUMAN	ASB6	Ankyrin repeat and SOCS box protein 6	26670.3	27280.9	41947.1	35431.4	41025.1	26635.7
Q9NWZ5	Q9NWZ5	UCKL1_HUMAN	UCKL1	Uridine-cytidine kinase-like 1	65765.5	70463.4	75939.2	36858.8	54367	51645.1
Q9NX00	Q9NX00	TM160_HUMAN	TMEM160	Transmembrane protein 160	233887	195615	177033	79101.3	77266.1	109744
Q9NX04	Q9NX04	CA109_HUMAN	C1orf109	Uncharacterized protein C1orf109	24421.5	40603.7	27785.1		23051.7	35267.2
Q9NX05	Q9NX05	F120C_HUMAN	FAM120C	Constitutive coactivator of PPAR-gamma-like protein 2	208230	185711	174174	160127	186494	187948
Q9NX14	Q9NX14	NDUBB_HUMAN	NDUFB11	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	309791	301296	274900	153679	160939	192266
Q9NX18	Q9NX18	SDHF2_HUMAN	SDHAF2	Succinate dehydrogenase assembly factor 2, mitochondrial	16183.9			20192.6	28110.7	36289.1
Q9NX20	Q9NX20	RM16_HUMAN	MRPL16	39S ribosomal protein L16, mitochondrial	387517	389734	353361	373049	298406	287819
Q9NX24	Q9NX24	NHP2_HUMAN	NHP2	H/ACA ribonucleoprotein complex subunit 2	125474	130057	90471.2	124527	112014	107290
Q9NX40	Q9NX40	OCAD1_HUMAN	OCIAD1	OCIA domain-containing protein 1	42784.3	62137.3	51440.8	15994.5	46082.5	20706.9
Q9NX58	Q9NX58	LYAR_HUMAN	LYAR	Cell growth-regulating nucleolar protein	28650.5	24808	27746.9	18152	21143.3	23293.5
Q9NX63	Q9NX63	MIC19_HUMAN	CHCHD3	MICOS complex subunit MIC19	209186	183723	198988	157504	167030	139525
Q9NX70	Q9NX70	MED29_HUMAN	MED29	Mediator of RNA polymerase II transcription subunit 29	46003.8	93609.7	138332	85907.5	61543	83852.2
Q9NX74	Q9NX74	DUS2L_HUMAN	DUS2	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like	63498	39760.3	59166.6	37964.2	53962.2	36256.4
Q9NXC5	Q9NXC5	MIO_HUMAN	MIOS	GATOR complex protein MIOS	249541	245757	245756	239049	231202	247466
Q9NXD2	Q9NXD2	MTMRA_HUMAN	MTMR10	Myotubularin-related protein 10	30856.2	29456.5	21872	33594.2	37960.8	37320.4
Q9NXE4	Q9NXE4	NSMA3_HUMAN	SMPD4	Sphingomyelin phosphodiesterase 4	215505	208279	194002	157592	156824	156826
Q9NXE8	Q9NXE8	CWC25_HUMAN	CWC25	Pre-mRNA-splicing factor CWC25 homolog	104461	82133.6	86023	59515.3		97510
Q9NXF1	Q9NXF1	TEX10_HUMAN	TEX10	Testis-expressed protein 10	31474.5	34477.2	31707.1	26319.6	19650.7	24139.4
Q9NXG6	Q9NXG6	P4HTM_HUMAN	P4HTM	Transmembrane prolyl 4-hydroxylase		48930.3	39531.5	32607.9	56911.9	31957.5
Q9NXH9	Q9NXH9	TRM1_HUMAN	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase	71514.5	64958.4	75677.9	48218	80136.1	86686.5
Q9NXK8	Q9NXK8	FXL12_HUMAN	FBXL12	F-box/LRR-repeat protein 12	47678.1	5722.68	39514.2	34143.8	8181.56	22679.3
Q9NXN4	Q9NXN4	GDAP2_HUMAN	GDAP2	Ganglioside-induced differentiation-associated protein 2	27093.7		28184.7	26439.1	22290.2	19694.7
Q9NXR1	Q9NXR1	NDE1_HUMAN	NDE1	Nuclear distribution protein nudE homolog 1	53870.2	71511.6	49879	19628.7	66979.5	62140.2
Q9NXR5	Q9NXR5	ANR10_HUMAN	ANKRD10	Ankyrin repeat domain-containing protein 10	151252	94273.1	111455	119730	125065	85745.7
Q9NXR7	Q9NXR7	BABA2_HUMAN	BABAM2	BRISC and BRCA1-A complex member 2	106506	102428	92682.6	96077.1	81126.5	116055
Q9NXR8	Q9NXR8	ING3_HUMAN	ING3	Inhibitor of growth protein 3	23982.1	16528.8	19329.6		15293.6	
Q9NXS2	Q9NXS2	QPCTL_HUMAN	QPCTL	Glutaminyl-peptide cyclotransferase-like protein	85447.7	91441.9	86209.1	66360.2	95255.4	81655.9
Q9NXV6	Q9NXV6	CARF_HUMAN	CDKN2AIP	CDKN2A-interacting protein	65471.2	65231.8	74857.4	34190.8	61651.3	63526.2
Q9NXW2	Q9NXW2	DJB12_HUMAN	DNAJB12	DnaJ homolog subfamily B member 12	274121	291186	322047	229721	252598	246256
Q9NXX6	Q9NXX6	NSE4A_HUMAN	NSMCE4A	Non-structural maintenance of chromosomes element 4 homolog A	88762.6	96087	76314.3	102227	93259.7	104917
Q9NY12	Q9NY12	GAR1_HUMAN	GAR1	H/ACA ribonucleoprotein complex subunit 1	96476.9	79921.2	74319.5	78122.1	89945	105293
Q9NY61	Q9NY61	AATF_HUMAN	AATF	Protein AATF	27846.3	35598.2	59688.6	35120.5	34721.8	45525.2
Q9NY93	Q9NY93	DDX56_HUMAN	DDX56	Probable ATP-dependent RNA helicase DDX56	137031	131028	156943	140079	129298	118514
Q9NYB9	Q9NYB9	ABI2_HUMAN	ABI2	Abl interactor 2	247590	223912	207543	210284	207401	190734
Q9NYD6	Q9NYD6	HXC10_HUMAN	HOXC10	Homeobox protein Hox-C10	64517.8	53773.3	39442.1	28243.2	23336.1	44816.4
Q9NYF8	Q9NYF8	BCLF1_HUMAN	BCLAF1	Bcl-2-associated transcription factor 1	458946	453223	480192	334372	317027	365389
Q9NYJ1	Q9NYJ1	COA4_HUMAN	COA4	Cytochrome c oxidase assembly factor 4 homolog, mitochondrial	61680	40113.8	81559.3	46931.2	57072.6	47030.5
Q9NYJ8	Q9NYJ8	TAB2_HUMAN	TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2	127226	129331	134128	154752	164501	163053
Q9NYK5	Q9NYK5	RM39_HUMAN	MRPL39	39S ribosomal protein L39, mitochondrial	28963.2	30286.7	29904.7	24711.4	21938.7	25068.9
Q9NYL9	Q9NYL9	TMOD3_HUMAN	TMOD3	Tropomodulin-3	16219.8	64424.9	69894.8	58200.9	56957.1	48738.2
Q9NYU2	Q9NYU2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	171432	155309	178582	176786	181080	172103
Q9NYV4	Q9NYV4;Q14004	CDK12_HUMAN	CDK12	Cyclin-dependent kinase 12	1.65873e+06	1.74251e+06	1.70101e+06	1.98441e+06	2.04398e+06	1.82362e+06
Q9NYY3	Q9NYY3;Q9H4B4	PLK2_HUMAN	PLK2	Serine/threonine-protein kinase PLK2	37934.2	38190.2	36829.6	50709.9	45259.6	36850.3
Q9NYY8	Q9NYY8	FAKD2_HUMAN	FASTKD2	FAST kinase domain-containing protein 2, mitochondrial	139336	136060	140245	130819	107709	134251
Q9NZ01	Q9NZ01	TECR_HUMAN	TECR	Very-long-chain enoyl-CoA reductase	276381	268447	220095	240421	218663	195852
Q9NZ08	Q9NZ08	ERAP1_HUMAN	ERAP1	Endoplasmic reticulum aminopeptidase 1	152884	152222	156542	113416	100146	125070
Q9NZ09	Q9NZ09	UBAP1_HUMAN	UBAP1	Ubiquitin-associated protein 1	54963.2	52777.3	47164.5	78214.5	50356.5	51854.6
Q9NZ32	Q9NZ32	ARP10_HUMAN	ACTR10	Actin-related protein 10	29176.5	46833.2	35054.7	22265.9	37465.7	18969.8
Q9NZ45	Q9NZ45	CISD1_HUMAN	CISD1	CDGSH iron-sulfur domain-containing protein 1	169212	191605	196145	180445	162700	150621
Q9NZ53	Q9NZ53	PDXL2_HUMAN	PODXL2	Podocalyxin-like protein 2	15055.5	21410.1	22988.9	16201.3	6699.29	25266.7
Q9NZ71	Q9NZ71	RTEL1_HUMAN	RTEL1	Regulator of telomere elongation helicase 1	76475.2	43531.2	62292.2	42501.2	60743.2	49917.3
Q9NZB2	Q9NZB2	F120A_HUMAN	FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1	477979	489335	462127	390268	358865	394186
Q9NZC9	Q9NZC9	SMAL1_HUMAN	SMARCAL1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	39776.4	42019.9	24355.5	41277.6	55480.4	20894.7
Q9NZI8	Q9NZI8	IF2B1_HUMAN	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1	82547.5	78623.9	79071.3	74430.8	73616.4	100345
Q9NZJ7	Q9NZJ7	MTCH1_HUMAN	MTCH1	Mitochondrial carrier homolog 1	230111	257802	237348	196284	179145	186642
Q9NZL4	Q9NZL4	HPBP1_HUMAN	HSPBP1	Hsp70-binding protein 1	51062.9	48746	63837.3	45585.2	56554.7	58097.5
Q9NZL9	Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta	873262	935855	918749	949476	832778	840396
Q9NZM1	Q9NZM1	MYOF_HUMAN	MYOF	Myoferlin	89517	94427	89609.5	87837.1	86959.1	75004.2
Q9NZM3	Q9NZM3	ITSN2_HUMAN	ITSN2	Intersectin-2	16003.5		12406		10664.1	
Q9NZN4	Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2	190805	192997	211292	191355	190906	189817
Q9NZN5	Q9NZN5	ARHGC_HUMAN	ARHGEF12	Rho guanine nucleotide exchange factor 12	97565.1	98990.4	98876	107490	91591.9	89822
Q9NZN8	Q9NZN8	CNOT2_HUMAN	CNOT2	CCR4-NOT transcription complex subunit 2	104526	98325.2	116538	76242.2	98116.3	85467.4
Q9NZQ3	Q9NZQ3	SPN90_HUMAN	NCKIPSD	NCK-interacting protein with SH3 domain	167308	166711	170174	152308	150455	132778
Q9NZT2	Q9NZT2	OGFR_HUMAN	OGFR	Opioid growth factor receptor	234586	252458	243715	240215	247860	253505
Q9NZW5	Q9NZW5	MPP6_HUMAN	MPP6	MAGUK p55 subfamily member 6	78981.4	65962.5	78086.5	74925.9	76648.9	87280.4
Q9P000	Q9P000	COMD9_HUMAN	COMMD9	COMM domain-containing protein 9	54397.6	69097.9	42914.8	64460.6	71063.7	51544.5
Q9P015	Q9P015	RM15_HUMAN	MRPL15	39S ribosomal protein L15, mitochondrial	43341.7		31255.8	36982.5		35777.4
Q9P016	Q9P016	THYN1_HUMAN	THYN1	Thymocyte nuclear protein 1		13928.1	17489.5	25047.2	30582.1	28513.3
Q9P032	Q9P032	NDUF4_HUMAN	NDUFAF4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	19048.1	16701.2	13633	12804.8	22606	
Q9P035	Q9P035	HACD3_HUMAN	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	294728	322364	288691	202116	266676	228254
Q9P086	Q9P086	MED11_HUMAN	MED11	Mediator of RNA polymerase II transcription subunit 11	49094.3	40600.9	44865.9	50875.4	41293.3	23264.5
Q9P0I2	Q9P0I2	EMC3_HUMAN	EMC3	ER membrane protein complex subunit 3	77082	105844	103884	90689.3	81498.2	67939.3
Q9P0J0	Q9P0J0	NDUAD_HUMAN	NDUFA13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	227718	218707	196918	151183	168737	163592
Q9P0J1	Q9P0J1	PDP1_HUMAN	PDP1	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial	32555.8	27637.7	17718.6	37121.6	21577.4	31380.9
Q9P0J7	Q9P0J7	KCMF1_HUMAN	KCMF1	E3 ubiquitin-protein ligase KCMF1	35095.1	40949.1	47248.5	34358.9	38898.7	19308.6
Q9P0K7	Q9P0K7	RAI14_HUMAN	RAI14	Ankycorbin	145484	132165	142300	136791	147612	123014
Q9P0K8	Q9P0K8	FOXJ2_HUMAN	FOXJ2	Forkhead box protein J2	145127	144066	141096	225571	225890	186478
Q9P0L0	Q9P0L0	VAPA_HUMAN	VAPA	Vesicle-associated membrane protein-associated protein A	226325	256082	234351	231483	195872	220381
Q9P0N9	Q9P0N9	TBCD7_HUMAN	TBC1D7	TBC1 domain family member 7	30213.6	21289	19945.9	22609.2	20022.3	22558.8
Q9P0P0	Q9P0P0	RN181_HUMAN	RNF181	E3 ubiquitin-protein ligase RNF181	395032	283938	321722	391696	353616	342812
Q9P0U3	Q9P0U3	SENP1_HUMAN	SENP1	Sentrin-specific protease 1	108108	109402	115470	95178	89268.2	98341.4
Q9P0U4	Q9P0U4	CXXC1_HUMAN	CXXC1	CXXC-type zinc finger protein 1	305561	288089	276726	238745	233692	230707
Q9P0V9	Q9P0V9	SEP10_HUMAN	SEPTIN10	Septin-10	322150	322037	314428	320990	293959	313477
Q9P0W2	Q9P0W2	HM20B_HUMAN	HMG20B	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related	307606	307852	318199	329928	358219	331890
Q9P1Y6	Q9P1Y6	PHRF1_HUMAN	PHRF1	PHD and RING finger domain-containing protein 1	90212.4	63504.3	70741.9	73090.4	51368.5	54351.9
Q9P206	Q9P206	K1522_HUMAN	KIAA1522	Uncharacterized protein KIAA1522	176884	132060	161484	180172	134056	160984
Q9P209	Q9P209	CEP72_HUMAN	CEP72	Centrosomal protein of 72 kDa	74574.2	81929.3	96641.3	87086	75211.2	66959.9
Q9P242	Q9P242	NYAP2_HUMAN	NYAP2	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2	19687.1	33155.4	29792.7	32862.4	28068.9	29624.6
Q9P246	Q9P246	STIM2_HUMAN	STIM2	Stromal interaction molecule 2	152011	157904	146720	170700	160675	167765
Q9P253	Q9P253	VPS18_HUMAN	VPS18	Vacuolar protein sorting-associated protein 18 homolog	168188	190983	185131	142709	137556	129552
Q9P258	Q9P258	RCC2_HUMAN	RCC2	Protein RCC2	382674	351736	371781	431437	418334	442255
Q9P260	Q9P260	RELCH_HUMAN	RELCH	RAB11-binding protein RELCH	25805.9	11130.5	8998.56			28144.1
Q9P265	Q9P265	DIP2B_HUMAN	DIP2B	Disco-interacting protein 2 homolog B	32935.2	37707.3	30851.7	51107.8	45973.3	39269
Q9P275	Q9P275	UBP36_HUMAN	USP36	Ubiquitin carboxyl-terminal hydrolase 36	112413	118693	92352.5	82670.4	73339.9	69748.4
Q9P281	Q9P281	BAHC1_HUMAN	BAHCC1	BAH and coiled-coil domain-containing protein 1		220855	202682	225697	180512	146034
Q9P287	Q9P287	BCCIP_HUMAN	BCCIP	BRCA2 and CDKN1A-interacting protein	40035.5	47168.1	32547.5	63898.6	43295.4	31907
Q9P289	Q9Y6E0;Q9P289;O00506	STK26_HUMAN	STK26	Serine/threonine-protein kinase 26	63113.4	68113.4	58618.3	86737.3	75927	53055.6
Q9P2B2	Q9P2B2	FPRP_HUMAN	PTGFRN	Prostaglandin F2 receptor negative regulator	25255.9	16210.3	14459.1	15992.3	22738.1	
Q9P2B4	Q9P2B4	CT2NL_HUMAN	CTTNBP2NL	CTTNBP2 N-terminal-like protein	47709.3	49187.2	48443.2	53433.2	43959.7	34401.4
Q9P2D0	Q9P2D0	IBTK_HUMAN	IBTK	Inhibitor of Bruton tyrosine kinase	31538.8	14704.3	24029.5	7204.2	26625.5	15850
Q9P2D1	Q9P2D1	CHD7_HUMAN	CHD7	Chromodomain-helicase-DNA-binding protein 7	161465	166350	168063	180159	181734	183932
Q9P2E3	Q9P2E3	ZNFX1_HUMAN	ZNFX1	NFX1-type zinc finger-containing protein 1	28193.1	33521.3	29445.6	21373.3		42404
Q9P2E9	Q9P2E9	RRBP1_HUMAN	RRBP1	Ribosome-binding protein 1	131030	119512	132946	121758	132809	108197
Q9P2F9	Q9P2F9	ZN319_HUMAN	ZNF319	Zinc finger protein 319	29431.9	38478.8	32264	25625.4	46284.3	63799.8
Q9P2I0	Q9P2I0	CPSF2_HUMAN	CPSF2	Cleavage and polyadenylation specificity factor subunit 2	480992	481031	502618	351246	375047	355294
Q9P2J5	Q9P2J5	SYLC_HUMAN	LARS1	Leucine--tRNA ligase, cytoplasmic	304375	302656	322433	331995	327872	326321
Q9P2K3	Q9P2K3	RCOR3_HUMAN	RCOR3	REST corepressor 3	137269	138979	117438	129973	127545	152155
Q9P2K8	Q9P2K8	E2AK4_HUMAN	EIF2AK4	eIF-2-alpha kinase GCN2	98542	88261.2	100553	69787.2	69460.9	64061
Q9P2N5	Q9P2N5	RBM27_HUMAN	RBM27	RNA-binding protein 27	580960	538878	593856	530809	546699	534278
Q9P2N6	Q9P2N6	KANL3_HUMAN	KANSL3	KAT8 regulatory NSL complex subunit 3	297720	327893	319140	347909	310876	314899
Q9P2N7	Q9P2N7;Q9P2J3	KLH13_HUMAN	KLHL13	Kelch-like protein 13	93611.6	86751	104796	122836	62520.9	79061.9
Q9P2P5	Q9P2P5;Q76N89	HECW2_HUMAN	HECW2	E3 ubiquitin-protein ligase HECW2		24613.5	37571.2	21848.6	23581	24180.5
Q9P2R3	Q9P2R3	ANFY1_HUMAN	ANKFY1	Rabankyrin-5	298284	310691	313597	285384	295953	301607
Q9P2R6	Q9P2R6	RERE_HUMAN	RERE	Arginine-glutamic acid dipeptide repeats protein	334138	324132	333080	365906	407074	426539
Q9P2R7	Q9P2R7	SUCB1_HUMAN	SUCLA2	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	116064	130686	107750	116137	120298	107267
Q9P2S5	Q9P2S5	WRP73_HUMAN	WRAP73	WD repeat-containing protein WRAP73	9184.04	18174.7		16321.8	14939.1	13459.2
Q9P2T1	Q9P2T1	GMPR2_HUMAN	GMPR2	GMP reductase 2	82298.8	97316.3	70623.8	127795	131469	77065.3
Q9P2X0	Q9P2X0	DPM3_HUMAN	DPM3	Dolichol-phosphate mannosyltransferase subunit 3	60947.6	48840	43733	19547.4	31164.7	52341.1
Q9UBB4	Q9UBB4	ATX10_HUMAN	ATXN10	Ataxin-10	361572	408042	322659	306935	309019	350645
Q9UBB5	Q9UBB5	MBD2_HUMAN	MBD2	Methyl-CpG-binding domain protein 2	122696	119168	127599	72305.2	91891	88100.6
Q9UBB6	Q9UBB6	NCDN_HUMAN	NCDN	Neurochondrin	47370.5	83810.5	59770.2	83569	65598.7	77370.8
Q9UBB9	Q9UBB9	TFP11_HUMAN	TFIP11	Tuftelin-interacting protein 11	72180.5	62687.6	80613.7	66457.7	62581.5	58119.7
Q9UBC2	Q9UBC2	EP15R_HUMAN	EPS15L1	Epidermal growth factor receptor substrate 15-like 1	217617	227803	203424	228497	244406	262613
Q9UBD5	Q9UBD5	ORC3_HUMAN	ORC3	Origin recognition complex subunit 3	70008.1	59688.5	84459.7	71411	71880.3	75183
Q9UBE0	Q9UBE0	SAE1_HUMAN	SAE1	SUMO-activating enzyme subunit 1	32444.3	21013.9	32183.8	59801.9	34676.9	34501.9
Q9UBF2	Q9UBF2	COPG2_HUMAN	COPG2	Coatomer subunit gamma-2	65166.2	60442.9	64699.5	38002.8	55825.7	44646.7
Q9UBI1	Q9UBI1	COMD3_HUMAN	COMMD3	COMM domain-containing protein 3	84491.3	79659.3	90773.7	53103.8	81571.5	49247.2
Q9UBI6	Q9UBI6	GBG12_HUMAN	GNG12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	124318	101207	141509	119977	118154	129812
Q9UBI9	Q9UBI9	HDC_HUMAN	HECA	Headcase protein homolog	66340.2	64643.9	19620.4	60868.5	67228.8	59020
Q9UBK8	Q9UBK8	MTRR_HUMAN	MTRR	Methionine synthase reductase	1.36718e+06	1.24608e+06	1.2849e+06	1.54386e+06	1.70274e+06	1.5764e+06
Q9UBK9	Q9UBK9	UXT_HUMAN	UXT	Protein UXT	75611.4	66722.9	58979.5	66011.4		53336.2
Q9UBL3	Q9UBL3	ASH2L_HUMAN	ASH2L	Set1/Ash2 histone methyltransferase complex subunit ASH2	134058	146782	141066	124420	127415	129231
Q9UBM7	Q9UBM7	DHCR7_HUMAN	DHCR7	7-dehydrocholesterol reductase	84603.3	85838.3	89568.9	54522.7	67935.7	67404.2
Q9UBN7	Q9UBN7	HDAC6_HUMAN	HDAC6	Histone deacetylase 6	225479	178762	154205	202633	152584	127977
Q9UBP0	Q9UBP0	SPAST_HUMAN	SPAST	Spastin	24033	32960.7	26682	32829.2	30025.3	35706.5
Q9UBP6	Q9UBP6	TRMB_HUMAN	METTL1	tRNA (guanine-N(7)-)-methyltransferase	287692	299544	272132	359601	310859	333059
Q9UBQ0	Q9UBQ0	VPS29_HUMAN	VPS29	Vacuolar protein sorting-associated protein 29	272036	240742	223359	278660	259357	280861
Q9UBQ5	Q9UBQ5	EIF3K_HUMAN	EIF3K	Eukaryotic translation initiation factor 3 subunit K	138086	143850	174140	172013	122770	141648
Q9UBR2	Q9UBR2	CATZ_HUMAN	CTSZ	Cathepsin Z	2.09721e+06	2.16277e+06	2.39653e+06	2.36564e+06	2.11804e+06	2.20832e+06
Q9UBS0	Q9UBS0	KS6B2_HUMAN	RPS6KB2	Ribosomal protein S6 kinase beta-2	40177.8	22574.4	29797.3	18209.5	19998	
Q9UBS4	Q9UBS4	DJB11_HUMAN	DNAJB11	DnaJ homolog subfamily B member 11	1.45933e+06	1.46426e+06	1.32792e+06	1.4148e+06	1.28082e+06	1.41574e+06
Q9UBT2	Q9UBT2	SAE2_HUMAN	UBA2	SUMO-activating enzyme subunit 2		31126.9				
Q9UBU8	Q9UBU8	MO4L1_HUMAN	MORF4L1	Mortality factor 4-like protein 1	36410.5	35084.5	27298.7	42421.3	51290.8	35045.1
Q9UBV2	Q9UBV2	SE1L1_HUMAN	SEL1L	Protein sel-1 homolog 1	31356		14687.4	26235.1		20337.2
Q9UBV7	Q9UBV7	B4GT7_HUMAN	B4GALT7	Beta-1,4-galactosyltransferase 7		55624.1	36150.2	39860.9	30897.6	64964.6
Q9UBV8	Q9UBV8	PEF1_HUMAN	PEF1	Peflin	47778.2	35878.9	46324.6	45271.8	58531	53981.7
Q9UBW7	Q9UBW7	ZMYM2_HUMAN	ZMYM2	Zinc finger MYM-type protein 2	38652.6	43083.5	49183.7	22567.6	42190.4	
Q9UBW8	Q9UBW8	CSN7A_HUMAN	COPS7A	COP9 signalosome complex subunit 7a	37117.9	33038.1	42513.1	49096.5	37755.2	27656.6
Q9UBX3	Q9UBX3	DIC_HUMAN	SLC25A10	Mitochondrial dicarboxylate carrier	399706	413620	399876	325500	285310	346887
Q9UDW1	Q9UDW1	QCR9_HUMAN	UQCR10	Cytochrome b-c1 complex subunit 9	1.41498e+06	1.47229e+06	1.23177e+06	1.21219e+06	1.389e+06	1.22228e+06
Q9UDY2	Q9UDY2	ZO2_HUMAN	TJP2	Tight junction protein ZO-2	549670	555418	587912	336052	349883	348161
Q9UDY4	Q9UDY4;P25685	DNJB4_HUMAN	DNAJB4	DnaJ homolog subfamily B member 4	422799	345377	347309	405826	424756	424283
